loanId;startDate;requiredReturnDate;actualReturnDate;fine;hasRequest;email;barCode
415510;2018-11-23;2018-12-05;2018-12-10;25.0;false;hiram.kessler10@icloud.com;8-525-215-734-7
892066;2020-02-17;2020-04-03;1969-12-31;0.0;false;ralph.mueller97@outlook.com;8-964-571-616-8
279097;2019-07-04;2019-07-28;2019-07-10;0.0;false;stefanie.glover92@outlook.com;1-127-145-882-8
342993;2020-02-04;2020-04-02;1969-12-31;0.0;true;franchesca.cormier92@gmail.com;8-659-702-075-2
214333;2020-02-25;2020-03-03;1969-12-31;0.0;false;louis.ullrich68@icloud.com;3-656-216-181-6
223827;2017-11-08;2017-12-21;2018-01-05;70.0;false;bula.schamberger73@icloud.com;3-386-006-026-7
112493;2018-06-12;2018-06-24;2018-06-20;0.0;true;gussie.kemmer07@mail.com;6-606-637-494-1
770673;2020-02-10;2020-02-12;2020-02-12;0.0;false;clementine.o'hara12@icloud.com;8-365-552-680-3
114414;2019-06-26;2019-06-28;2019-06-26;0.0;true;beau.rath46@mail.com;8-525-215-734-7
386790;2017-06-30;2017-07-31;2017-07-05;0.0;true;eve.conn99@gmail.com;8-132-555-323-5
600332;2018-09-01;2018-09-21;2018-09-26;20.0;false;kelley.mcglynn24@mail.com;2-091-591-358-8
808836;2020-02-24;2020-04-06;1969-12-31;0.0;false;kiyoko.balistreri25@mail.com;3-330-031-431-9
176532;2020-02-05;2020-02-26;2020-02-10;0.0;false;billie.purdy63@icloud.com;3-167-439-770-8
666875;2020-02-09;2020-03-31;1969-12-31;0.0;false;lorraine.bogan67@icloud.com;2-901-383-725-2
487223;2020-02-23;2020-04-20;1969-12-31;0.0;false;kent.harber26@mail.com;7-021-989-934-0
783579;2016-06-18;2016-07-27;2016-06-23;0.0;false;billie.leffler81@mail.com;0-250-785-769-0
572974;2020-02-08;2020-04-04;1969-12-31;0.0;false;ima.kemmer13@mail.com;3-605-329-302-4
561945;2020-02-06;2020-04-03;1969-12-31;0.0;false;shannon.bartoletti86@outlook.com;7-217-166-368-6
441105;2020-02-14;2020-03-06;1969-12-31;0.0;false;guy.schiller98@icloud.com;5-566-203-828-4
465738;2018-04-12;2018-04-27;2018-04-14;0.0;false;shaunda.mayer85@gmail.com;0-359-683-949-3
513631;2020-02-24;2020-02-29;1969-12-31;0.0;false;aleisha.walsh82@mail.com;8-169-606-874-6
313212;2020-02-05;2020-02-20;2020-02-14;0.0;false;tracy.anderson68@icloud.com;0-738-355-927-9
347701;2016-08-22;2016-09-07;2016-09-16;40.0;false;laverna.kuhlman19@gmail.com;0-074-526-451-4
494364;2016-10-22;2016-11-18;2016-11-09;0.0;false;candelaria.mraz29@gmail.com;6-084-241-739-2
782148;2020-02-22;2020-04-02;1969-12-31;0.0;true;maurice.kshlerin81@icloud.com;0-787-875-396-7
624828;2020-02-19;2020-04-09;1969-12-31;0.0;true;lucrecia.douglas49@gmail.com;5-050-723-743-9
507422;2017-12-05;2018-01-23;2018-01-08;0.0;false;travis.okuneva36@outlook.com;1-127-145-882-8
832035;2020-02-25;2020-03-27;1969-12-31;0.0;false;vennie.abshire55@outlook.com;3-341-862-704-1
299722;2020-02-16;2020-03-15;1969-12-31;0.0;false;billie.leffler81@mail.com;5-936-877-311-3
964084;2016-09-03;2016-10-02;2016-09-16;0.0;false;jospeh.jacobi27@gmail.com;2-395-330-275-4
821468;2020-02-25;2020-03-01;1969-12-31;0.0;true;colby.little66@outlook.com;2-527-760-690-8
303442;2020-02-09;2020-03-20;1969-12-31;0.0;false;cristopher.lindgren96@outlook.com;7-203-773-439-0
23917;2016-04-29;2016-06-02;2016-05-29;0.0;false;roseanna.raynor17@gmail.com;9-082-890-477-0
53428;2020-02-12;2020-03-25;1969-12-31;0.0;true;israel.ankunding06@mail.com;7-203-773-439-0
147793;2019-09-10;2019-11-06;2019-11-13;30.0;false;trenton.kautzer84@mail.com;6-995-832-870-2
783482;2017-08-19;2017-09-20;2017-09-04;0.0;false;moshe.casper85@mail.com;5-850-303-713-9
418462;2020-02-24;2020-03-19;1969-12-31;0.0;false;zachery.hand43@gmail.com;4-251-571-140-9
557621;2020-02-21;2020-03-24;1969-12-31;0.0;false;donny.bins19@mail.com;7-118-748-504-1
600600;2016-09-10;2016-11-06;2016-09-14;0.0;false;billie.purdy63@icloud.com;6-730-046-524-7
694408;2020-02-07;2020-03-13;1969-12-31;0.0;false;vaughn.rau15@gmail.com;1-797-043-443-4
401004;2020-02-11;2020-03-18;1969-12-31;0.0;false;winnie.leannon59@icloud.com;1-565-146-353-5
85996;2020-02-07;2020-02-20;2020-03-08;80.0;true;horacio.turcotte04@icloud.com;6-962-656-692-7
